compliment_id;text
0;Успехов тебе в делах, приятных собеседников, отличного настроения и хорошего дня! Пусть он будет наполнен добром, энтузиазмом, позитивом, вдохновением и бесконечной удачей!
1;Вы сегодня особенно прекрасны!
2;Вы — яркая личность и талантливый человек, который при всё этом обладает богатым внутренним миром и невероятной красотой!
3;Улыбка — бриллиант, взгляд — луч яркого солнца. Ты — человек, который обладает невероятной энергией, ты — человек, с которым хочется всегда быть рядом.
4;Невероятное обаяние и харизма — это всё о вас! Рядом с вами всегда приятно находиться.
5;Хороший день — это отличная заявка на успех в любом деле! Поэтому   желаю теплого, ясного, удачного денечка!
6;Вы излучаете радость и позитивное отношение к миру, что делает вас ещё привлекательнее!
7;Ты — гений. Ты — чудо. Ты — многогранная личность и чудесный человек!
8;Невозможно разгадать тайну вашего обаяния! Но вы производите невероятное впечатление на людей!
9;Природа наградила вас сполна — и внешностью, и умом и обаянием...
10;Желаю Вам счастливого начала дня, пусть сегодня все будет удаваться и гармонично складываться.
11;Пусть этот день подарит много радости, приятных встреч, шикарных возможностей, чудесных моментов, полезных советов, и только теплые отношения с окружающими. Никаких сложностей и преград.
12;Без пафоса и лести, с толикой уважения и чести, сообщаю о вашей небывалой уникальности и оригинальной исключительности.
13;Желаю успеть сделать всё, что запланировали.
14;Пусть твоя уверенность придаст тебе сил и откроет все дороги. Классных тебе идей и верных решений!
15;У тебя вместо сердца бриллиант, твои руки — это великий дар и настоящее золото. И вообще, ты — драгоценный, замечательный и великолепный человечек!
16;Желаю сегодня замечательного, волшебного настроения. Пускай все вокруг радует и восторгает, трогает сердце и душу! Пусть ощущение гармонии, умиротворения и счастья не покидают ни на минуту! Желаю поймать волну позитива и оставаться на мажорной нотке весь день!
17;Наступил новый день, он несет в себе что-то неожиданное. Так пусть это неожиданное будет приятным! Он несет в себе заботы, так пусть они удачно разрешатся. Он несет в себе общение, так пусть оно будет только позитивным. Удачного дня тебе!
18;В этот светлый день, желаю лучезарного настроения
19;Пусть этот день будет непросто очередным днем, в череде серых будней, а запомнится ярким голубым небом, теплым ласковым ветром, чьей-то доброй улыбкой или просто красивой песней, услышанной где-то.
20;Желаю приятного, успешного и хорошего дня. Пустьон будет плодотворным и насыщенным. Пусть удастся воплотить все планы и желания. Пусть этот день принесет только радость, удачу и добрые эмоции!
21;Позитива, радости, чувства юмора и хорошего настроения. Пусть в каждом дне будет счастье. Живи легко и непринуждённо. Пусть у тебя всё будет отлично!
22;Пусть удача сегодня набросит на тебя свой аркан, а небо подарит тебе вкус свежести, наслаждения и безграничного счастья!
23;Желаю тебе сегодня во всех делах везенья, восторга, наслажденья, веселого доброго смеха и обязательно успеха!
24;Пусть ваши глаза светятся от счастья!
25;У вас самая очаровательная улыбка
26;Всего самого лучшего и позитивного!
27;Пусть каждый день будет наполнен чем-то волшебным ( и сегоняшний день не исключение)
28;Самых позитивных моментов
29;Пусть твой день начнётся с улыбки самой себе в зеркальном отражении. Смотри какая ты классная! Ну вот, другое дело, ведь повода для грусти у тебя нет!