Продукт;Жирная;Комбинированная;Склонная к появлению прыщей;Сухая;Чувствительная/с покраснениями;Раздраженная;Увядающая
Пенка для умывания;пенка для умывания Faberlic iSeul;пенка для умывания Faberlic iSeul;Мусс для умывания Faberlic PHARMA;;;;
Молочко для умывания;;Молочко для умывания EVSI;;Молочко для умывания BIOTHERM;Молочко для умывания 1;;Молочко для умывания Pulanna
Мицелярный раствор;Мицелярный раствор;Мицелярный раствор;Мицелярный раствор;Мицелярный раствор;Мицелярный раствор;Мицелярный раствор;Мицелярный раствор
Скраб;Скраб;Скраб https://new.faberlic.com/ru/p/01080201-026691;Скраб https://new.faberlic.com/ru/p/01080202-026708;;;;
Тоник;Тоник;Тоник;Тоник;Тоник;Тоник;;Тоник
Увлажняющий крем;Увлажняющий крем;Увлажняющий крем;Увлажняющий крем;Увлажняющий крем;Увлажняющий крем;Увлажняющий крем;Увлажняющий крем
Питательный крем;;;;Питательный крем;;Питательный крем;Питательный крем
Сыворотка;Сыворотка;Сыворотка;Сыворотка;Сыворотка;;;Сыворотка
Гель для умывания;Гель для умывания;Гель для умывания;Гель для умывания;;Гель для умывания;;
Рекомендуемые вещества в составе;tea tree oil, витамины А, Е, С, аллантоин, цинк, сера, экстракт календулы;масло авокадо , бетаин;Ниацинамид — водорастворимый витамин В3, tea tree oil, Витамин С;церамид, гиалуроновая кислота, натуральные масла;Витамин Е,  пантенол,аллантоин; центелла азиатская,  пантенол,аллантоин;Ретинол, витамин А, витамин С